name,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,rock_era
Smells Like Teen Spirit,Nirvana,1991,0.2,0.88,0.51,0,0.91,0,0.09,0.1,0.81,0.1,0.54,4,0.73,Sweet Rock
Stairway to Heaven - Remaster,Led Zeppelin,1971,0.33,0.93,0.34,0.58,0.34,0,0.82,0.11,0.6,0.06,0.38,4,0.2,Old Rock
Bohemian Rhapsody - Remastered 2011,Queen,1975,0.24,0.88,0.4,0.29,0.4,0,0,0.23,0.66,0.1,0.66,4,0.23,Old Rock
Imagine - Remastered 2010,John Lennon,1971,0.12,0.92,0.55,0.91,0.25,0.18,0,0.08,0.59,0.05,0.35,4,0.17,Old Rock
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,1965,0.15,0.92,0.73,0.04,0.86,0.03,0.18,0.12,0.72,0.06,0.63,4,0.94,Old Rock
Hotel California - 2013 Remaster,Eagles,1976,0.27,0.99,0.59,0.01,0.51,0,0.18,0.05,0.67,0.05,0.68,4,0.62,Old Rock
Enter Sandman,Metallica,1991,0.22,0.88,0.59,0,0.82,0.01,0.55,0.05,0.69,0.05,0.57,4,0.64,Sweet Rock
Whole Lotta Love - 1990 Remaster,Led Zeppelin,1969,0.23,0.92,0.42,0.05,0.9,0.13,0.82,0.4,0.61,0.74,0.41,4,0.43,Old Rock
Comfortably Numb,Pink Floyd,1979,0.26,0.88,0.48,0.15,0.36,0.31,1,0.07,0.58,0.05,0.58,4,0.17,Old Rock
One,U2,1991,0.19,0.9,0.4,0.25,0.53,0,0,0.14,0.69,0.07,0.83,4,0.33,Sweet Rock
Born to Run,Bruce Springsteen,1975,0.18,0.87,0.27,0.01,0.95,0,0.36,0.11,0.82,0.18,0.67,4,0.61,Old Rock
Smoke on the Water,Deep Purple,1972,0.23,0.76,0.64,0.1,0.59,0.59,0,0.04,0.62,0.05,0.52,4,0.9,Old Rock
Hey Jude - Remastered 2015,The Beatles,2000,0.29,0.9,0.39,0.01,0.61,0,0.91,0.08,0.72,0.05,0.68,4,0.54,Sweet Rock
Paranoid - 2012 - Remaster,Black Sabbath,1970,0.11,0.82,0.42,0,0.66,0,0.36,0.17,0.6,0.13,0.75,4,0.46,Old Rock
Seven Nation Army,The White Stripes,2003,0.15,0.77,0.74,0.01,0.46,0.45,0,0.25,0.72,0.15,0.57,4,0.32,Modern Rock
Free Bird,Lynyrd Skynyrd,1973,0.37,0.85,0.25,0.07,0.84,0,0,0.08,0.71,0.1,0.54,4,0.34,Old Rock
Back In Black,AC/DC,1980,0.17,1,0.31,0.01,0.7,0.01,0.82,0.07,0.78,0.09,0.86,4,0.77,Old Rock
Sympathy For The Devil - 50th Anniversary Edition,The Rolling Stones,1968,0.26,0.89,0.71,0.52,0.67,0,0.82,0.05,0.68,0.39,0.53,4,0.57,Old Rock
Wish You Were Here,Pink Floyd,1975,0.23,0.92,0.49,0.74,0.26,0.01,0.64,0.83,0.49,0.08,0.56,4,0.38,Old Rock
